,pitcher,proj_loc,count,Spot+
2849,678061,-0.31,383,93
2851,678226,-0.31,254,93
2852,678368,-0.26,931,93
2855,678394,0.72,2533,104
2856,678495,-0.23,837,94
2858,678606,1.15,390,109
2860,678692,0.03,265,97
2861,678821,-0.01,128,96
2862,678906,-0.4,204,92
2863,679156,-0.18,263,94
2866,679525,0.69,2010,104
2868,679885,0.44,1072,101
2870,680570,1.47,1879,112
2873,680573,1.26,2187,110
2877,680686,-0.0,176,96
2879,680689,0.02,26,96
2882,680694,0.38,674,100
2886,680704,-0.19,932,94
2888,680730,-0.03,2313,96
2889,680732,-0.01,138,96
2891,680736,-0.55,543,90
2894,680739,0.06,141,97
2896,680742,-0.05,68,96
2897,680744,0.17,295,98
2899,680767,-0.16,1233,94
2900,680880,-0.69,231,89
2901,680885,2.25,1612,121
2902,680897,-2.71,734,67
2903,681035,0.37,787,100
2904,681066,-1.11,328,84
2906,681190,0.55,1591,102
2909,681217,-0.03,167,96
2910,681293,0.64,2375,103
2912,681402,0.55,338,102
2914,681432,-0.47,437,91
2916,681517,0.37,674,100
2917,681676,0.04,1129,97
2919,681799,-0.01,370,96
2923,681806,0.09,35,97
2927,681810,0.2,98,98
2929,681857,-0.08,1723,95
2933,681867,2.75,1724,126
2935,681869,-0.85,794,87
2936,681870,0.08,122,97
2938,681882,-0.15,98,95
2941,681892,-0.38,611,92
2945,681911,0.09,1019,97
2947,681982,0.83,483,105
2952,682052,-0.2,178,94
2954,682120,0.01,943,96
2958,682175,0.03,50,97
2960,682227,-0.19,252,94
2962,682243,1.89,2546,117
2963,682610,-0.49,1485,91
2965,682842,-0.2,258,94
2968,682847,0.09,1962,97
2971,682989,-0.44,107,91
2973,682990,0.35,722,100
2974,683003,0.68,1737,104
2975,683004,0.17,529,98
2977,683155,2.31,1863,122
2982,683232,0.52,997,102
2983,683409,-0.07,400,95
2984,683627,1.04,994,108
2987,683769,1.63,1005,114
2988,684007,2.5,2495,124
2989,684320,-0.93,1339,86
2991,685107,0.34,181,100
2992,685116,0.1,157,97
2993,685299,1.22,606,110
2995,685314,-0.29,26,93
2999,685801,-0.15,231,95
3002,686294,-0.03,20,96
3004,686539,-0.23,1033,94
3005,686563,1.47,1869,112
3006,686580,-0.14,740,95
3011,686613,0.56,2786,102
3012,686642,-0.49,311,91
3015,686654,-0.0,86,96
3017,686730,1.37,1485,111
3019,686747,0.59,182,103
3022,686752,0.78,1923,105
3025,686796,-0.3,285,93
3026,686799,0.29,621,99
3028,686826,-0.04,1006,96
3034,686973,0.23,777,99
3035,687014,0.12,225,98
3036,687134,0.13,552,98
3038,687145,-0.04,8,96
3040,687330,2.66,976,125
3041,687362,-0.25,138,94
3043,687424,-0.32,262,93
3044,687765,-0.13,2314,95
3045,687792,0.44,1422,101
3047,687798,0.42,205,101
3049,687863,-0.81,593,87
3051,687911,-0.16,379,94
3053,687922,0.17,163,98
3054,687924,0.27,455,99
3055,688107,0.82,399,105
3056,688297,0.88,569,106
3058,689017,-0.38,924,92
3060,689147,1.96,968,118
3063,689225,0.23,1052,99
3065,689266,-0.02,34,96
3066,689672,-0.68,721,89
3068,689690,0.36,232,100
3069,689981,-0.43,295,92
3070,690544,-0.06,303,96
3072,690829,0.02,541,96
3073,690916,-0.2,156,94
3075,690986,0.31,2078,100
3076,691172,-0.14,229,95
3078,691951,-0.66,222,89
3079,692230,0.24,233,99
3081,693312,-1.38,950,81
3083,693433,3.07,1557,130
3086,693821,-0.73,864,88
3088,694037,-0.75,263,88
3090,694297,3.22,2547,132
3091,694361,-0.09,146,95
3093,694363,-0.99,1196,85
3094,694462,-0.42,133,92
3095,694738,-0.15,723,95
3097,694813,1.68,2152,115
3098,694973,2.69,2029,126
3099,695076,0.39,320,101
3101,695243,0.91,939,106
3102,696131,0.43,509,101
3104,696136,0.22,852,99
3106,700187,0.11,205,97
3107,700249,-0.41,1221,92
3108,700270,-0.36,391,92
3110,700363,0.17,87,98
3111,700669,0.06,105,97
3112,701542,-0.03,436,96
3113,701581,0.45,924,101
3115,701643,-0.14,118,95
3116,702352,0.57,639,102
3117,702674,-0.33,206,93
3118,800049,-0.94,584,86
3119,805673,-0.04,549,96
3120,806185,-2.02,1099,74
3121,808967,2.79,1271,127
3122,814005,0.23,238,99
