PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dLongitudinalAngle,SpinAxis3dTransverseAngle,SpinAxis3dTilt,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,PitchTrajectory3rdOrderXc0,PitchTrajectory3rdOrderXc1,PitchTrajectory3rdOrderXc2,PitchTrajectory3rdOrderXc3,PitchTrajectory3rdOrderYc0,PitchTrajectory3rdOrderYc1,PitchTrajectory3rdOrderYc2,PitchTrajectory3rdOrderYc3,PitchTrajectory3rdOrderZc0,PitchTrajectory3rdOrderZc1,PitchTrajectory3rdOrderZc2,PitchTrajectory3rdOrderZc3
40,2026-02-06,11:34:37.77,1,1,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.61404,-2.627743,-4.607315,1717.599787,262.06064,2:45,5.71021,2.13552,5.84314,-27.18379,3.38697,17.79446,0.99326,-0.67251,88.2359,-7.619055,-1.424544,0.397946,,,,,,,,,,,,-10.26272,2.68945,-1.77023,50,5.47952,10.35752,-138.50291,-7.41006,-20.10044,28.53222,-26.90649,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,7e3c7ea0-038a-11f1-8e19-276118046144,94.71739,,,7.37814,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:34:37.77,2026-02-06T11:34:37.7719296-07:00,2026-02-06T18:34:37.7719296Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,001f10a1-1830-46bb-ad4b-dd74d5fc6a04,54.65695,-139.45896,14.26611,5.71271,-6.50848,-13.45325,-2.12858,11.03104,-10.05022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.66235,-139.62826,15.29413,-1.63659,5.71025,-6.43128,-13.92198,0.74621,-2.13536,11.24375,-11.34184,2.05625
41,2026-02-06,11:34:53.26,1,2,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,1,0,Sinker,Sinker,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,95.72198,-2.194286,-2.983542,1788.150203,253.885434,2:30,5.78406,2.12968,5.50757,-25.57025,5.18595,14.84229,1.59738,0.57389,88.36587,-6.875405,-0.339212,0.399151,,,,,,,,,,,,-8.298,3.43988,-1.87962,50,5.57496,6.55136,-138.89645,-6.33778,-16.34988,28.60419,-25.39631,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,87744430-038a-11f1-8e19-276118046144,94.43143,,,7.35611,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:34:53.26,2026-02-06T11:34:53.2616704-07:00,2026-02-06T18:34:53.2616704Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,43ba1859-9578-4f69-b604-8c216e2904ef,54.99266,-139.92085,14.30209,5.78565,-5.42826,-12.69816,-2.12473,7.1369,-8.17494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.99792,-140.09345,15.39892,-1.82745,5.78407,-5.37635,-13.02803,0.54961,-2.12957,7.2956,-9.1835,1.6804
42,2026-02-06,11:35:17.44,1,3,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.39206,0.461994,-0.684709,1743.48189,226.91934,1:30,5.77635,2.09866,4.79215,-34.10518,3.97445,2.97693,3.3721,1.69784,79.973,-5.724718,-0.160916,0.444138,,,,,,,,,,,,-1.64339,2.20626,-2.03308,50,5.79298,1.37334,-126.75943,-0.35814,-2.67763,25.57033,-28.57933,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,95dc50d0-038a-11f1-8e19-276118046144,84.86653,,,7.41906,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:35:17.44,2026-02-06T11:35:17.4405632-07:00,2026-02-06T18:35:17.4405632Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,5f1c85b9-e047-4c2f-a363-dff5da2b7cd1,55.70427,-127.90494,12.78517,5.78034,0.92217,-14.28967,-2.09729,1.49329,-1.33882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.71321,-128.15066,14.09371,-1.82697,5.77641,1.03031,-14.86561,0.80413,-2.09863,1.52986,-1.53354,0.27187
43,2026-02-06,11:35:37.80,1,4,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,96.72153,-3.389791,-5.078229,1812.809024,248.314096,2:15,5.90559,1.9954,5.45832,-23.08186,7.123,15.78375,0.79293,-1.45516,89.74354,-7.603293,-2.28012,0.395558,,,,,,,,,,,,-9.15508,4.65296,-1.55805,50,5.58953,11.68615,-139.91962,-9.2374,-18.43496,26.91382,-22.80472,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,a1fe16f0-038a-11f1-8e19-276118046144,95.28939,,,6.97798,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:35:37.80,2026-02-06T11:35:37.8062336-07:00,2026-02-06T18:35:37.8062336Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,d122db7c-1e8f-47e9-b772-6c582f3b818f,55.04202,-140.88612,13.45691,5.90655,-8.41846,-11.40236,-1.9896,12.34817,-9.21748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.04718,-141.0491,14.45528,-1.60341,5.90559,-8.38797,-11.58911,0.29992,-1.99527,12.5277,-10.31724,1.76625
44,2026-02-06,11:35:59.15,1,5,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,3,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,96.74328,-0.490945,-3.270433,1811.585992,233.794064,1:45,5.90168,2.07884,5.08244,-21.39828,9.35697,11.47682,3.65497,-0.05079,88.47091,-4.42848,-1.245358,0.399145,,,,,,,,,,,,-6.58292,5.0665,-1.77844,50,5.83853,7.43535,-140.22455,-2.0776,-13.15053,30.72292,-22.05281,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,aebd7ca0-038a-11f1-8e19-276118046144,94.43288,,,8.27237,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:35:59.15,2026-02-06T11:35:59.1540224-07:00,2026-02-06T18:35:59.1540224Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,92528d9a-e6b6-4df8-9d56-7ca019456337,55.41549,-141.40609,15.36146,5.90212,-1.22949,-11.0264,-2.07411,7.9411,-6.57527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.42299,-141.64513,16.83618,-2.38534,5.90167,-1.2151,-11.11515,0.14355,-2.07873,8.0879,-7.48099,1.465
45,2026-02-06,11:36:15.81,1,6,"Hicks, Jordan",663855,Right,WHI_SOX30,"Alcala, Marcelo",808708,Right,WHI_SOX30,Undefined,2,Top,0,3,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.37429,-1.26678,-1.782325,663.861011,307.06888,4:15,5.95241,2.02015,5.22039,-37.20514,-0.00874,1.40339,1.6602,0.46085,81.03388,-7.994766,-1.533249,0.438957,,,,,,,,,,,,-1.15335,0.60492,-1.8568,50,5.80725,3.8878,-126.90746,-4.24422,-1.89885,23.65734,-31.17813,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,b8ade3d0-038a-11f1-8e19-276118046144,85.86824,,,6.34041,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:36:15.81,2026-02-06T11:36:15.8121472-07:00,2026-02-06T18:36:15.8121472Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,10307a42-0e65-4c9d-b09f-e14959d1af12,55.27963,-127.88787,11.82867,5.95637,-2.95213,-15.58907,-2.01955,3.9665,-0.94943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.28507,-128.04912,12.75493,-1.39495,5.95247,-2.83635,-16.2541,1.00154,-2.02014,3.98404,-1.0502,0.15177
46,2026-02-06,11:36:47.47,2,1,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,0,0,Splitter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,97.21925,-0.984622,-4.282698,2006.249613,223.773012,1:30,5.84711,1.93353,5.16005,-18.22781,12.29241,10.83721,3.39868,-1.20193,88.63218,-4.368895,-2.371831,0.397617,,,,,,,,,,,,-6.53382,6.67776,-1.54172,50,5.74136,9.98065,-140.68376,-3.13172,-13.11048,31.55576,-18.77475,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,cb8d95e0-038a-11f1-8e19-276118046144,94.79579,,,8.58707,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:36:47.47,2026-02-06T11:36:47.4799616-07:00,2026-02-06T18:36:47.4799616Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,dad1067d-a0dd-42f0-9cd8-4956938a1531,55.33606,-141.8756,15.77788,5.84625,-2.42261,-9.38738,-1.92804,10.47583,-6.55524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.34534,-142.15828,17.44638,-2.58204,5.84706,-2.4475,-9.24042,-0.22741,-1.93339,10.63891,-7.5179,1.48973
47,2026-02-06,11:37:22.24,2,2,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,1,0,Slider,Slider,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,85.2391,-0.689729,-2.241346,2107.737552,25.692562,6:45,5.87471,2.05501,5.06935,-44.58085,-5.05036,-2.9926,1.50882,-0.30864,78.78723,-8.711206,-2.770917,0.45252,,,,,,,,,,,,0.90154,-2.0648,-1.83972,50,5.77332,4.97099,-123.72095,-3.21776,1.40185,23.94502,-35.38468,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,e0453c40-038a-11f1-8e19-276118046144,83.29457,,,6.45186,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:37:22.24,2026-02-06T11:37:22.2457856-07:00,2026-02-06T18:37:22.2457856Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,c6ecc499-0ef0-4cac-84b1-1ce673785574,55.43148,-124.76774,11.97251,5.88017,-1.67088,-17.69234,-2.05569,4.90971,0.70093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.43612,-124.90677,12.77926,-1.2273,5.87481,-1.51013,-18.6251,1.41902,-2.05503,4.88978,0.81656,-0.17592
48,2026-02-06,11:37:50.20,2,3,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,1,1,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,95.99476,-1.15625,-3.053597,2048.574025,223.576136,1:30,5.93544,1.91758,5.43563,-17.90068,12.72863,11.2602,3.35929,-0.00625,88.35489,-4.485464,-1.0531,0.398327,,,,,,,,,,,,-6.47788,6.98469,-1.65533,50,5.82074,6.90418,-139.32496,-3.47873,-12.85058,28.59491,-18.31803,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,f0ea67a0-038a-11f1-8e19-276118046144,94.62683,,,7.63987,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:37:50.20,2026-02-06T11:37:50.2077952-07:00,2026-02-06T18:37:50.2077952Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,d3062153-322d-4090-a228-7333fcf31a7f,55.06392,-140.36042,14.29745,5.9347,-2.81541,-9.15902,-1.91376,7.36952,-6.42529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06985,-140.55749,15.5643,-2.13504,5.93541,-2.83907,-9.00692,-0.25633,-1.9175,7.49359,-7.22281,1.34408
49,2026-02-06,11:38:16.58,2,4,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.56142,-1.932577,-1.033734,2118.395172,56.183324,7:45,5.83297,2.07687,5.35909,-42.40597,-2.96807,-6.0376,0.48586,0.60424,78.89776,-9.574098,-2.109822,0.451989,,,,,,,,,,,,2.81984,-0.7739,-1.97945,50,5.62844,2.46302,-122.8971,-5.70371,4.35825,21.94639,-33.37012,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,00ad2240-038b-11f1-8e19-276118046144,83.39229,,,5.66366,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:38:16.58,2026-02-06T11:38:16.5874176-07:00,2026-02-06T18:38:16.5874176Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,1e65d86f-0f17-4871-a2f6-66f4d8d867dd,55.14257,-123.81203,10.9732,5.83722,-4.31253,-16.68506,-2.07834,2.28133,2.17913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.14641,-123.92803,11.65225,-1.04218,5.83303,-4.18598,-17.42587,1.13695,-2.07691,2.23795,2.43307,-0.38975
50,2026-02-06,11:38:43.66,2,5,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,97.17009,-2.348601,-5.270883,1985.230781,231.79744,1:45,5.8662,1.90468,5.59265,-18.54253,11.44839,13.3791,2.11759,-1.91567,89.20483,-5.794406,-2.897202,0.394154,,,,,,,,,,,,-8.12343,6.68449,-1.4603,50,5.65184,12.32671,-140.52832,-6.47126,-16.35808,29.76079,-18.71358,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,10c66150-038b-11f1-8e19-276118046144,95.6286,,,7.96526,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:38:43.66,2026-02-06T11:38:43.6657664-07:00,2026-02-06T18:38:43.6657664Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,83554856-e26e-4bf7-af8b-d011fc689f80,54.90575,-141.56344,14.8804,5.8656,-5.82038,-9.35679,-1.89893,12.89566,-8.17904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.91281,-141.7867,16.2493,-2.20053,5.86616,-5.8382,-9.24754,-0.17562,-1.90455,13.07356,-9.26981,1.75342
51,2026-02-06,11:39:01.67,2,6,"Hicks, Jordan",663855,Right,WHI_SOX30,"Antonacci, Sam",803011,Left,WHI_SOX30,Undefined,2,Top,1,3,2,Splitter,Splitter,BallCalled,Walk,Undefined,Undefined,0,0,,87.97541,-2.917039,-3.908949,1549.646435,298.312018,4:00,6.01429,2.13916,4.55894,-39.4177,-1.23701,4.52335,-0.05562,-1.20993,81.0932,-9.926077,-3.117134,0.444727,,,,,,,,,,,,-3.3113,0.51535,-1.73736,50,5.67331,8.47572,-127.16216,-8.15982,-5.42306,26.02455,-31.33006,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,1bd38320-038b-11f1-8e19-276118046144,84.75416,,,6.88221,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:39:01.67,2026-02-06T11:39:01.6717824-07:00,2026-02-06T18:39:01.6717824Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,09b49f65-dfd8-420d-bb0b-62c549cb6eb4,55.94033,-128.37213,13.01227,6.01882,-6.70318,-15.66503,-2.13728,8.72786,-2.71153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.94651,-128.55593,14.07246,-1.60331,6.01437,-6.57052,-16.43022,1.15719,-2.13911,8.78236,-3.02593,0.47547
52,2026-02-06,11:39:34.60,3,1,"Hicks, Jordan",663855,Right,WHI_SOX30,"Makarewicz, Alec",701062,Left,WHI_SOX30,Undefined,2,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.26038,-1.716141,-2.790866,2097.3214,63.638085,8:00,5.55423,2.22061,6.73111,-39.35183,-1.88071,-6.2113,0.70434,-0.84935,78.30604,-9.028094,-3.923748,0.440575,,,,,,,,,,,,2.4461,-0.09528,-2.03455,50,5.42645,6.25882,-123.82974,-4.88794,3.77051,26.403,-32.3209,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,2f331390-038b-11f1-8e19-276118046144,85.55284,,,6.95434,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:39:34.60,2026-02-06T11:39:34.6022400-07:00,2026-02-06T18:39:34.6022400Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,7aa68777-2ac6-454d-9e1b-ebebab7067b6,53.76717,-124.63039,13.2015,5.55982,-3.90783,-16.16045,-2.22261,6.14448,1.88525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7743,-124.83504,14.33943,-1.65884,5.55433,-3.75042,-17.03573,1.27595,-2.22067,6.08866,2.19561,-0.45242
53,2026-02-06,11:39:52.43,3,2,"Hicks, Jordan",663855,Right,WHI_SOX30,"Makarewicz, Alec",701062,Left,WHI_SOX30,Undefined,2,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,96.86504,-3.283767,-3.975518,1823.525704,243.920197,2:15,5.8662,2.06035,5.51991,-21.65478,8.39666,15.38304,0.98068,-0.38064,89.60226,-7.257684,-1.239086,0.394552,,,,,,,,,,,,-8.7602,5.31666,-1.7245,50,5.56492,9.02608,-140.3133,-8.91182,-17.67341,28.18792,-21.44787,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,39c9f3f0-038b-11f1-8e19-276118046144,95.53235,,,7.26279,,,,,,,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:39:52.43,2026-02-06T11:39:52.4311040-07:00,2026-02-06T18:39:52.4311040Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,440d1cf0-529f-497e-8311-cf5a1e8ddc42,54.98003,-141.3102,14.09396,5.86669,-8.15328,-10.72394,-2.05477,9.65113,-8.8367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.98558,-141.48853,15.20355,-1.81006,5.86619,-8.13741,-10.82268,0.16108,-2.06023,9.82649,-9.92781,1.77989
54,2026-02-06,11:40:09.50,3,3,"Hicks, Jordan",663855,Right,WHI_SOX30,"Makarewicz, Alec",701062,Left,WHI_SOX30,Undefined,2,Top,1,2,0,Fastball,Four-Seam,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,96.11276,-1.21955,-2.892933,1922.440155,218.699343,1:15,5.92568,1.95889,4.79773,-16.08052,15.3415,11.51792,3.42839,0.17516,88.03734,-4.203631,-0.870464,0.403449,85.89047,60.508253,-79.811231,4662.088666,,,,,52.80267,,,-6.43071,8.15595,-1.68107,50,5.79068,6.44862,-139.30519,-3.59824,-12.70891,29.61968,-16.05558,WHI_SOX30,WHI_SOX30,CamelbackWhiteSox,TeamExclusive,Team,20260206-CamelbackWhiteSox-Private-1,43f78b30-038b-11f1-8e19-276118046144,93.4256,86.25124,,8.07542,,,,-0.03289,3.32066,-0.15382,207180ff-950d-49b3-9b2b-4666122978c8,2026-02-06,18:40:09.50,2026-02-06T11:40:09.5020544-07:00,2026-02-06T18:40:09.5020544Z,,v3,,,,"Hays, Austin",669720,Right,WHI_SOX30,e92d2b74-9e8f-4226-b002-a8f9d2b65e6d,55.70032,-140.512,14.80984,5.92395,-2.94409,-8.02779,-1.95435,6.96642,-6.35446,,-0.03291,10.97342,-14.44753,5.63736,-3.60787,4.34016,-3.56651,1.47199,-0.22672,3.32066,109.64951,-29.86879,3.6729,-0.42434,-0.39234,0.50794,-0.2727,0.05716,-0.15382,-61.03835,9.50025,-1.95992,0.51611,-0.34572,0.21323,-0.05619,0.00053,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.70772,-140.74602,16.24474,-2.30661,5.92562,-2.99674,-7.70494,-0.51899,-1.95879,7.10688,-7.21567,1.38441
