Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Marcus Semien","TEX",127,534,15,62,62,11,0.093632958,0.174157303,0.134042553,0.250673854,0.229787234,0.305243445,0.363829787,0.29480341478679956,0.31704932350602427,89.02824894465994,2.9069746788591146,-3.998440211989407,6.352029085159302,2.1212454715982294,"Marcus Semien",12533,543760
"Christian Yelich","MIL",150,644,29,88,103,16,0.099378881,0.25931677,0.188481675,0.322751322,0.263525305,0.343167701,0.45200698,0.3431630712878368,0.33149067685592865,121.41749554522096,2.8472796324640512,19.19468222929771,-16.723996758461,2.444933740901483,"Christian Yelich",11477,592885
"George Springer","TOR",140,586,32,106,84,18,0.11774744,0.189419795,0.251004016,0.339832869,0.309236947,0.39896373,0.560240963,0.4078920781612396,0.4042854110054348,166.12905855908951,2.781200483441353,48.4545151351716,-17.774693489074707,5.202487966443002,"George Springer",12856,543807
"Francisco Lindor","NYM",160,732,31,117,86,31,0.088797814,0.178961748,0.198757764,0.288343558,0.267080745,0.345628415,0.465838509,0.3501807249572179,0.3446629037555343,128.77125428201668,2.7495667804032564,27.710687587606657,9.234126567840576,6.271617221497545,"Francisco Lindor",12916,596019
"Juan Soto","NYM",160,715,43,120,105,38,0.177622377,0.191608391,0.26169844,0.270471464,0.263431542,0.395511921,0.525129982,0.38982828523431506,0.4271752789978988,155.93110814120718,2.711435863748193,50.10874337437486,-17.154218196868896,5.805493362895623,"Juan Soto",20123,665742
"Brice Turang","MIL",156,659,18,97,81,24,0.100151745,0.227617602,0.147260274,0.356294536,0.287671232,0.359208523,0.434931506,0.34630487177793573,0.3337830288719585,123.56972992154685,2.6060672160238028,21.01523798851718,0.14898896217346191,4.408576414286521,"Brice Turang",22186,668930
"Joey Ortiz","MIL",149,506,7,62,45,14,0.053359683,0.146245059,0.087234042,0.259640102,0.229787234,0.276,0.317021276,0.2631502192020416,0.27295026261082117,66.60611864537773,2.543759435415268,-17.48304341116786,13.932437896728516,1.359133525582871,"Joey Ortiz",25493,687401
"Sal Frelick","MIL",142,594,12,76,63,19,0.079124579,0.134680134,0.117424243,0.317460317,0.287878787,0.350936967,0.40530303,0.33226253764998975,0.2983551025390625,113.95027944107807,2.5336809661239386,12.35485841407843,2.824613571166992,3.575003536204167,"Sal Frelick",29622,686217
"Caleb Durbin","MIL",136,506,11,60,53,18,0.059288537,0.098814229,0.130337078,0.265463917,0.256179775,0.333996023,0.386516853,0.31931711404508434,0.3086935236724186,105.08224794564076,2.3243253603577614,5.3722243614935365,3.6441043615341187,2.644888170828225,"Caleb Durbin",29646,702332
"Ozzie Albies","ATL",157,667,16,74,74,14,0.08245877,0.140929535,0.12437811,0.259036144,0.240464344,0.305847076,0.364842454,0.2945410410264381,0.29810618205242845,86.88430580194277,2.177694158628583,-8.190695778962706,-0.9924681186676025,1.330890236874149,"Ozzie Albies",16556,645277
