,game_year,pitcher,player_name,Shape+,shape_rv,foul,barrel,solid,flr_brn,under,topped,weak,swstr,count,Name
110,2023,592351,"Gray, Jon",93,-0.0033,21.1,1.9,1.4,5.6,5.0,7.3,0.7,14.1,2464,Jon Gray
111,2023,592426,"Jackson, Luke",123,0.01437,16.8,0.7,0.5,3.3,2.3,6.1,0.2,21.9,525,Luke Jackson
112,2023,592454,"Kahnle, Tommy",106,0.00445,19.6,1.2,0.8,5.1,2.4,10.0,0.5,16.4,685,Tommy Kahnle
113,2023,592741,"Shreve, Chasen",99,8e-05,18.2,1.6,1.5,4.4,5.1,5.4,1.3,14.9,742,Chasen Shreve
114,2023,592767,"Smyly, Drew",99,0.00019,16.3,1.4,0.5,3.9,5.0,4.3,0.5,12.5,2400,Drew Smyly
115,2023,592773,"Stanek, Ryne",113,0.00854,20.2,0.8,0.6,3.1,3.5,4.8,0.4,15.2,918,Ryne Stanek
116,2023,592779,"Stewart, Brock",115,0.00931,22.8,0.9,0.7,3.8,3.9,5.9,0.9,15.9,486,Brock Stewart
117,2023,592789,"Syndergaard, Noah",91,-0.00463,16.0,1.5,1.3,4.5,3.9,6.5,0.9,11.8,1404,Noah Syndergaard
118,2023,592791,"Taillon, Jameson",94,-0.0026,19.1,1.7,1.3,4.6,5.8,5.4,0.8,12.3,2529,Jameson Taillon
119,2023,592826,"Velasquez, Vince",98,-0.00035,19.2,1.7,1.4,4.2,5.6,4.7,0.7,14.2,650,Vince Velasquez
120,2023,592836,"Walker, Taijuan",96,-0.00175,17.0,1.4,1.0,4.4,3.8,6.7,0.6,12.5,2837,Taijuan Walker
121,2023,592848,"Weiss, Zack",107,0.00482,19.5,1.4,1.4,4.1,6.8,3.5,0.6,16.0,226,Zack Weiss
122,2023,592866,"Williams, Trevor",95,-0.0019,19.2,1.3,1.2,5.5,5.2,6.7,1.4,11.2,2620,Trevor Williams
123,2023,593334,"Germán, Domingo",94,-0.00294,19.4,1.8,1.6,4.9,6.3,5.6,0.9,12.5,1653,Domingo Germán
124,2023,593576,"Neris, Héctor",98,-0.0001,20.0,1.6,1.2,3.8,4.7,5.4,0.8,13.5,1223,Héctor Neris
125,2023,593619,"Tapia, Domingo",107,0.00516,22.0,1.0,0.6,4.8,3.9,7.6,1.3,12.8,318,Domingo Tapia
126,2023,593833,"Suero, Wander",99,5e-05,15.3,0.8,0.5,2.1,3.9,2.5,1.3,7.5,159,Wander Suero
127,2023,593958,"Rodriguez, Eduardo",79,-0.01141,18.7,2.1,1.9,6.0,5.1,7.4,0.9,10.9,2371,Eduardo Rodriguez
128,2023,593974,"Peralta, Wandy",115,0.00971,13.7,0.4,0.2,2.7,1.3,7.3,0.8,14.5,877,Wandy Peralta
129,2023,594577,"Mayers, Mike",95,-0.00217,19.8,1.7,1.5,5.4,5.5,6.6,0.9,13.9,455,Mike Mayers
130,2023,594580,"Moll, Sam",104,0.00332,14.5,0.2,0.1,2.4,2.6,4.1,0.0,8.0,1025,Sam Moll
131,2023,594798,"deGrom, Jacob",130,0.01854,22.3,0.9,0.6,3.0,3.2,6.4,0.3,22.8,451,Jacob deGrom
132,2023,594835,"Gonzales, Marco",84,-0.00845,18.5,2.0,1.3,5.2,6.2,5.9,1.2,9.1,810,Marco Gonzales
133,2023,594902,"Lively, Ben",99,0.0005,16.9,1.1,1.0,3.5,5.7,3.7,1.1,10.0,1383,Ben Lively
134,2023,594943,"Neal, Zach",92,-0.00408,17.1,1.3,0.9,5.1,4.3,6.6,1.6,9.7,462,Zach Neal
135,2023,595345,"Okert, Steven",110,0.00687,17.5,1.0,0.6,2.4,5.4,2.0,1.1,13.4,1035,Steven Okert
